Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,vlaue
ANET,Arista Networks Inc,138.23,-3.45,-2.44%,141,136.691,1918900,2/17/23,265249547
WWE,World Wrestling Entertainment,87.98,0.81,0.93%,91.48,87.14,3005300,2/17/23,264406294
APA,Apa Corp,38.09,-2.05,-5.11%,39.25,37.87,6911800,2/17/23,263270462
ADSK,Autodesk Inc,219.98,-2.15,-0.97%,221.24,216.5,1194000,2/17/23,262656120
EPAM,Epam Systems Inc,338.21,-7.8,-2.25%,341.81,325.79,770000,2/17/23,260421700
AA,Alcoa Corp,46.89,-1.88,-3.85%,48.19,46.32,5550500,2/17/23,260262945
USO,US Oil Fund,67.02,-1.43,-2.09%,67.26,66.01,3851700,2/17/23,258140934
ROP,Roper Industries,427.68,4.71,1.11%,429.38,420.8296,601700,2/17/23,257335056
OKE,Oneok Inc,67.26,-1.93,-2.79%,68.54,67.23,3815600,2/17/23,256637256
MCO,Moody's Corp,301.45,-1.05,-0.35%,302.09,297.7425,851000,2/17/23,256533950
IVE,S&P 500 Value Ishares ETF,154.98,-0.17,-0.11%,155.15,153.71,1647200,2/17/23,255283056
UVXY,Ultra VIX Short-Term 2X Futures ETF,5.12,0.04,0.79%,5.4,5.08,49707600,2/17/23,254502912
SI,Silvergate Capital Corp Cl A,18.06,0.71,4.09%,18.6,16.61,14088100,2/17/23,254431086
DLTR,Dollar Tree Inc,148.04,1.19,0.81%,148.25,145.63,1710500,2/17/23,253222420
RSP,S&P 500 EW Invesco ETF,151.03,-0.32,-0.21%,151.15,149.81,1673800,2/17/23,252794014
USB,U.S. Bancorp,48.6,0.05,0.10%,48.665,48.2,5191800,2/17/23,252321480
DOW,Dow Inc,58.13,-0.55,-0.94%,58.505,57.7399,4317100,2/17/23,250953023
LYFT,Lyft Inc Cl A,11.28,0.29,2.64%,11.36,10.83,22224199,2/17/23,250688964.7
MDY,S&P Midcap 400 SPDR,486.42,-0.64,-0.13%,487.01,482.54,515000,2/17/23,250506300
PCOR,Procore Technologies Inc,64.76,1.35,2.13%,68.56,63.02,3861200,2/17/23,250051312
CTVA,Corteva Inc,61.81,-0.94,-1.50%,62.96,61.51,4037000,2/17/23,249526970
SRLN,Blackstone Gso Senior Loan SPDR,41.84,-0.07,-0.17%,41.9,41.79,5962700,2/17/23,249479368
INCY,Incyte Corp,79,0.76,0.97%,79.32,77.81,3142300,2/17/23,248241700
CTSH,Cognizant Tech Sol,65.48,-0.88,-1.33%,66.18,65.07,3784900,2/17/23,247835252
DBX,Dropbox Inc,21.22,-2.74,-11.44%,23.74,21.07,11639900,2/17/23,246998678
ENTG,Entegris Inc,85.48,-1.55,-1.78%,87.35,83.45,2873000,2/17/23,245584040
MPWR,Monolithic Power Sys,502.09,-11.28,-2.20%,514.05,498.51,488900,2/17/23,245471801
AZN,Astrazeneca Plc ADR,68.97,1.02,1.50%,69.24,68.08,3553100,2/17/23,245057307
TA,Travelcenters of America Llc,84.22,-0.21,-0.25%,84.43,84.2,2907000,2/17/23,244827540
X,United States Steel Corp,28.02,-1.77,-5.94%,29.61,27.77,8688700,2/17/23,243457374
UAL,United Airlines Holdings Inc,49.63,0.64,1.31%,49.79,48.35,4860500,2/17/23,241226615
WBD,Discovery Inc Series A,15.43,0.12,0.78%,15.53,15.06,15552399,2/17/23,239973516.6
ITB,US Home Construction Ishares ETF,68.65,-1.17,-1.68%,69.39,67.72,3485100,2/17/23,239252115
MSCI,MSCI Inc,544.83,-8.16,-1.48%,550.11,538.49,438700,2/17/23,239016921
PINS,Pinterest Inc,24.43,-0.41,-1.65%,24.7899,24.02,9744700,2/17/23,238063021
LVS,Las Vegas Sands,56.02,-0.8,-1.41%,56.54,55.75,4244700,2/17/23,237788094
BITO,Proshares Bitcoin Strategy ETF,15.53,0.17,1.11%,15.65,14.815,15277400,2/17/23,237258022
CVNA,Carvana Company Cl A,11.37,0.45,4.12%,11.9,10.88,20798800,2/17/23,236482356
POOL,Pool Corp,376.58,-13.12,-3.37%,389.9,369.47,626200,2/17/23,235814396
TDG,Transdigm Group Inc,743.97,-4.7,-0.63%,745.74,734.07,316300,2/17/23,235317711
XLC,S&P 500 Communication Sector SPDR,55.35,-0.06,-0.11%,55.395,54.725,4245100,2/17/23,234966285
IDXX,Idexx Laboratories,496.46,-9.94,-1.96%,503.76,490.76,472500,2/17/23,234577350
BILL,Bill.com Holdings Inc,93.3,-3.21,-3.33%,95.83,92.3,2509500,2/17/23,234136350
QID,Ultrashort QQQ -2X ETF,20.14,0.3,1.51%,20.5299,20.03,11620600,2/17/23,234038884
CCI,Crown Castle Inc,140.68,0.92,0.66%,141.04,137.83,1659000,2/17/23,233388120
STZ,Constellation Brands Inc,226.8,-0.46,-0.20%,229.086,226.26,1027600,2/17/23,233059680
DOCU,Docusign Inc,64.47,-2.18,-3.27%,66.79,63.6,3597100,2/17/23,231905037
SDS,Ultrashort S&P500 -2X ETF,40.76,0.22,0.54%,41.4,40.71,5687500,2/17/23,231822500
ODFL,Old Dominion Freight Line Inc,354.84,2.91,0.83%,355.72,347.89,652100,2/17/23,231391164
HCA,Hca Holdings Inc,262.84,-0.31,-0.12%,264.1,261.72,878800,2/17/23,230983792
CDW,CDW Corp,213.93,-0.32,-0.15%,215,212.25,1073600,2/17/23,229675248
D,Dominion Resources,58.7,0.6,1.03%,58.93,57.615,3907100,2/17/23,229346770
DAL,Delta Air Lines Inc,38.36,0.08,0.21%,38.43,37.6748,5961400,2/17/23,228679304
ZM,Zoom Video Communications Cl A,76.11,-1.8,-2.31%,77.1,74.3,3002000,2/17/23,228482220
PCG,Pacific Gas & Electric Company,15.57,0.02,0.13%,15.67,15.44,14652500,2/17/23,228139425
SARK,Tuttle Capital Short Ark Innovation -1X ETF,39.41,0.19,0.48%,40.45,39.28,5756600,2/17/23,226867606
IQV,Iqvia Holdings Inc,219.73,-4.27,-1.91%,223.24,216.45,1032000,2/17/23,226761360
STT,State Street Corp,92,-1.27,-1.36%,93.15,91.63,2454800,2/17/23,225841600
VTEB,Tax-Exempt Bond Vanguard,49.59,-0.26,-0.52%,49.74,49.59,4529500,2/17/23,224617905
URI,United Rentals,461.25,-0.77,-0.17%,463.79,459.203,485900,2/17/23,224121375
SYK,Stryker Corp,263.16,-0.05,-0.02%,263.49,260.55,851000,2/17/23,223949160
ICLR,Icon Plc,227.57,-2.33,-1.01%,229.59,222.99,983100,2/17/23,223724067
FTNT,Fortinet Inc,60.64,-0.75,-1.22%,61.3,60.29,3687200,2/17/23,223591808
ULTA,Ulta Beauty Inc,530,-1.56,-0.29%,533.68,528.39,419700,2/17/23,222441000
PPL,PPL Corp,28.81,0.36,1.27%,29.14,28.32,7645300,2/17/23,220261093
SPLK,Splunk Inc,105,-2.09,-1.95%,106.32,102.85,2091900,2/17/23,219649500
GWW,W.W. Grainger,677.35,7.26,1.08%,682.74,669.7125,324000,2/17/23,219461400
AR,Antero Resources Corp,25.23,-2.31,-8.39%,26.83,25.122,8650800,2/17/23,218259684
BIIB,Biogen Inc,278.38,6.85,2.52%,278.86,269.25,782900,2/17/23,217943702
JEPI,JPM Equity Premium Income ETF,54.9,0.1,0.18%,54.9597,54.6,3952000,2/17/23,216964800
ACGL,Arch Capital Grp Ltd,67.81,0.71,1.06%,68.28,66.6,3198000,2/17/23,216856380
TSLQ,Axs Tsla -1X Daily ETF,43.43,-1.32,-2.95%,45.79,43.38,4991700,2/17/23,216789531
ITW,Illinois Tool Works Inc,240.34,2.86,1.20%,240.73,236.33,902000,2/17/23,216786680
TYL,Tyler Technologies,343.6,4.51,1.33%,344.72,333.07,630200,2/17/23,216536720
EMR,Emerson Electric Company,85.44,-0.26,-0.30%,85.81,84.43,2528800,2/17/23,216060672
TRV,The Travelers Companies Inc,185.75,2.69,1.47%,186.4443,182.51,1155300,2/17/23,214596975
LYB,Lyondellbasell Industries NV,97.32,-1.43,-1.45%,98.13,96.875,2203900,2/17/23,214483548
NVS,Novartis Ag ADR,87.05,1.09,1.27%,87.13,85.69,2457900,2/17/23,213960195
HZNP,Horizon Therapeutics,109.93,0.31,0.28%,110.34,109.47,1944800,2/17/23,213791864
KEYS,Keysight Technologies Inc,185.78,-1.19,-0.64%,187.49,185.08,1145800,2/17/23,212866724
DFS,Discover Financial Services,111.18,-0.45,-0.40%,111.2,109.1223,1909600,2/17/23,212309328
MSI,Motorola Solutions,269.42,2.06,0.77%,271.19,265.5,785500,2/17/23,211629410
HYLB,Xt USD High Yield Corp Bond ETF,34.14,0.15,0.44%,34.19,33.78,6198300,2/17/23,211609962
AFRM,Affirm Holdings Inc Cl A,12.98,-0.6,-4.42%,13.51,12.51,16221000,2/17/23,210548580
TFC,Truist Financial Corp,48.49,0.53,1.11%,48.525,47.76,4333600,2/17/23,210136264
USFD,US Foods Holding,39.61,1.33,3.47%,39.75,38.12,5297500,2/17/23,209833975
TECK,Teck Resources Ltd,44.12,0.25,0.57%,44.205,43.12,4744500,2/17/23,209327340
LH,Laboratory Corp of America Holdings,256.26,0.17,0.07%,258.26,254.19,816100,2/17/23,209133786
SWKS,Skyworks Solutions,115.83,-3.38,-2.83%,118.58,115.35,1804900,2/17/23,209061567
FDX,Fedex Corp,210.3,-1.37,-0.65%,211.85,209.24,993300,2/17/23,208890990
VMC,Vulcan Materials Company,185.65,0.28,0.15%,188.29,183.5,1122400,2/17/23,208373560
DRI,Darden Restaurants,146.09,0.33,0.23%,147.05,144.62,1422800,2/17/23,207856852
DXCM,Dexcom Inc,114.76,-2.5,-2.13%,117.03,113.4,1810200,2/17/23,207738552
MTB,M&T Bank Corp,159.92,0.24,0.15%,160.725,159.21,1298900,2/17/23,207720088
VICI,Vici Properties Inc,33.89,-0.2,-0.59%,34.225,33.7682,6121600,2/17/23,207461024
USMV,USA Min Vol Ishares Edge MSCI ETF,72.84,0.36,0.50%,72.945,72.27,2846900,2/17/23,207368196
NUE,Nucor Corp,168.07,-1.75,-1.03%,169.84,167.15,1229600,2/17/23,206658872
ILMN,Illumina Inc,211.83,0.01,0.00%,213.14,208.07,975300,2/17/23,206597799
Z,Zillow Group Cl C,45.89,-2.01,-4.20%,47.77,44.94,4501600,2/17/23,206578424
GDXJ,Vaneck Junior Gold Miners ETF,34.59,-0.1,-0.29%,34.77,33.72,5960000,2/17/23,206156400
W,Wayfair Inc,51.79,0.74,1.45%,52.165,50.2,3973500,2/17/23,205787565
LSCC,Lattice Semicond,87.1,-2.55,-2.84%,90.11,86.3,2358100,2/17/23,205390510
TEL,Te Connectivity Ltd,131.85,-0.15,-0.11%,132.3,130.21,1557000,2/17/23,205290450
SOFI,Sofi Technologies Inc,6.62,-0.36,-5.16%,6.96,6.51,30999400,2/17/23,205216028
SBAC,SBA Communications,281.24,-2.35,-0.83%,283.21,279.3,724700,2/17/23,203814628
NU,Nu Holdings Ltd Cl A,4.99,-0.35,-6.55%,5.21,4.91,40615100,2/17/23,202669349
LSI,Life Storage,123.11,0.89,0.73%,123.685,121.32,1644000,2/17/23,202392840
IJH,S&P Midcap 400 Ishares Core ETF,265.94,-0.3,-0.11%,266.22,263.8,759700,2/17/23,202034618
LHCG,LHC Group Inc,169.01,0.29,0.17%,169.41,168.94,1191100,2/17/23,201307811
PBR,Petroleo Brasileiro S.A. Petrobras ADR,11.55,-0.09,-0.77%,11.625,11.39,17387800,2/17/23,200829090
NCLH,Norwegian Cruise Ord,17.63,-0.17,-0.96%,17.7,17.25,11388000,2/17/23,200770440
BBY,Best Buy Company,86.94,-1.26,-1.43%,88.22,86.205,2307300,2/17/23,200596662
VTV,Value ETF Vanguard,143.4,0.28,0.20%,143.5999,142.29,1391500,2/17/23,199541100
SSO,Ultra S&P500 2X ETF,49.84,-0.27,-0.54%,49.885,49.0421,3987200,2/17/23,198722048
CNC,Centene Corp,73.36,0.35,0.48%,73.78,72.63,2700400,2/17/23,198101344
WAT,Waters Corp,328.73,1.4,0.43%,329.55,323.6,600400,2/17/23,197369492
ALL,Allstate Corp,135.05,-2.05,-1.50%,136.94,134.64,1460000,2/17/23,197173000
WELL,Welltower Inc,77.4,-0.65,-0.83%,78.495,77.11,2544000,2/17/23,196905600
PCAR,Paccar Inc,75.69,0.82,1.10%,76.12,74.98,2597200,2/17/23,196582068
QQQM,Invesco Nasdaq 100 ETF,123.9,-0.89,-0.71%,124.19,122.65,1586600,2/17/23,196579740
WDAY,Workday Inc,185.8,-1.95,-1.04%,186.98,183.03,1054100,2/17/23,195851780
HLT,Hilton Inc,146.34,-1.94,-1.31%,147.605,145.19,1337800,2/17/23,195773652
PBF,PBF Energy Inc,41.84,-3.1,-6.90%,45.67,41.3,4675400,2/17/23,195618736
MLM,Martin Marietta Materials,371.68,2.75,0.75%,376.61,367.26,522800,2/17/23,194314304
ADM,Archer Daniels Midland,81.59,0.17,0.21%,81.64,80.885,2364000,2/17/23,192878760
AAP,Advance Auto Parts Inc,149.99,-0.2,-0.13%,151.3,147.87,1279500,2/17/23,191912205
VUG,Growth ETF Vanguard,238.31,-2.03,-0.84%,239.06,235.9,804800,2/17/23,191791888
RS,Reliance Steel & Aluminum Company,247.9,4.8,1.97%,248.77,243.545,773400,2/17/23,191725860
MOS,Mosaic Company,49.85,-0.55,-1.09%,50.16,49.22,3841300,2/17/23,191488805
SCHD,Schwab US Dividend Equity ETF,76.91,0.16,0.21%,76.9917,76.345,2488300,2/17/23,191375153
O,Realty Income Corp,66.12,-0.19,-0.29%,66.4,65.64,2891900,2/17/23,191212428
XME,S&P Metals & Mining SPDR,56.18,-1.03,-1.80%,56.8,55.9,3395800,2/17/23,190776044
HBAN,Huntington Bcshs,15.4,0.06,0.39%,15.43,15.13,12383900,2/17/23,190712060
MNDY,Monday.com Ltd,153.11,-6.34,-3.98%,157.38,147.01,1241200,2/17/23,190040132
CVE,Cenovus Energy Inc,18.18,-0.28,-1.52%,18.51,17.78,10380700,2/17/23,188721126
OVV,Ovintiv Inc,43.54,-3.18,-6.81%,45.6,43.25,4319200,2/17/23,188057968
LYV,Live Nation Entertainment,76.39,-1.82,-2.33%,78.24,75.4,2458400,2/17/23,187797176
MDGL,Madrigal Pharmaceuticals Inc,303.39,8.35,2.83%,307.5,294.31,615100,2/17/23,186615189
KR,Kroger Company,44,0.15,0.34%,44.14,43.79,4230100,2/17/23,186124400
UDOW,Ultrapro Dow30 3X ETF,59.48,0.68,1.16%,59.57,57.8393,3126600,2/17/23,185970168
FSLR,First Solar Inc,164.28,-0.73,-0.44%,166.99,162.62,1129600,2/17/23,185570688
TROW,T Rowe Price Group,118.73,-0.35,-0.29%,118.92,116.92,1562500,2/17/23,185515625
UFPI,Universal Forest Prd,86.86,-7.41,-7.86%,90.1,85.67,2124900,2/17/23,184568814
SVXY,Short VIX Short-Term -1X Futures ETF,64.19,-0.09,-0.14%,64.3,62.98,2872400,2/17/23,184379356
BIO,Bio-Rad Laboratories,483.23,27.32,5.99%,488.88,452.2952,380900,2/17/23,184062307
AON,AON Plc,310.27,0.02,0.01%,310.89,307.67,592100,2/17/23,183710867
APO,Apollo Asset Management Inc,71.44,-0.65,-0.90%,72.23,70.8,2570500,2/17/23,183636520
JCI,Johnson Controls Intl,64.71,0.26,0.40%,65.01,63.75,2831400,2/17/23,183219894
ROK,Rockwell Automation Inc,297.72,1.84,0.62%,297.835,293.79,614800,2/17/23,183038256
CZR,Caesars Entertainment Inc,52.8,0.62,1.19%,53.18,51.71,3458500,2/17/23,182608800
IEI,3-7 Year Treas Bond Ishares ETF,115.15,0.22,0.19%,115.17,114.79,1585100,2/17/23,182524265
ASHR,Xt Harvest CSI 300 China A-Shares ETF,29.42,-0.53,-1.77%,29.45,29.33,6199600,2/17/23,182392232
OMC,Omnicom Group Inc,93.72,0.52,0.56%,93.88,92.43,1945900,2/17/23,182369748
BHP,Bhp Billiton Ltd ADR,66.44,-0.69,-1.03%,66.875,66.15,2743200,2/17/23,182258208
ICE,Intercontinental Exchange,107.11,-0.02,-0.02%,107.53,106.285,1700000,2/17/23,182087000
NRG,NRG Energy,34.22,0.14,0.41%,34.48,33.68,5295900,2/17/23,181225698
MBB,MBS Ishares ETF,93.85,0.16,0.17%,93.88,93.37,1922500,2/17/23,180426625
SPOT,Spotify Technology S.A.,125.33,-0.24,-0.19%,125.57,122.49,1438700,2/17/23,180312271
RH,Rh Common Stock,315.88,-5.89,-1.83%,320,309.2644,570500,2/17/23,180209540
IBB,Nasdaq Biotechnology Ishares ETF,133.36,1.27,0.96%,133.69,130.8,1350800,2/17/23,180142688
AMP,Ameriprise Financial Services,351.48,2.01,0.58%,352.74,346.03,511600,2/17/23,179817168
IEX,Idex Corp,231,5.91,2.63%,231.12,224.795,777100,2/17/23,179510100
